Model,Validation AUC,Test AUC,Test AP
GraphSAGE,0.617564831194249,0.6304550739598092,0.575873740080322
GCN,0.6967315292257896,0.6828067925212045,0.6789781452503486
GAT,0.5988219353381761,0.59462735526158,0.5571686894054314
